30, 1.15
29, 1.2
28, 1.25
27, 1.27
26, 1.28
25, 1.3
24, 1.32
23, 1.36
22, 1.40
21, 1.42
20, 1.45
19, 1.48
18, 1.5
17, 1.55
16, 1.6
15, 1.65
14, 1.7
13, 1.75
12, 1.8
11, 1.85
10, 1.9
9, 1.98
8, 2.03
7, 2.1
6, 2.2
5, 2.3
4.5, 2.33
4, 2.35
3.5, 24
3, 2.45
2.5, 2.47
2, 2.5
0.9, 2.51
0.8, 2.52
0.7, 2.54
0.6, 2.56
0.5, 2.57
0.4, 2.58
0.3, 2.59
0.2, 2.6
0.1, 2.6
