11021, 15
10075, 17
9006, 20
8233, 24
7698, 27
7197, 31
6579, 36
6015, 42
5499, 50
5027, 57
4596, 64
4201, 74
3841, 88
3433, 102
3139, 114
2806, 133
2453, 149
2242, 170
1960, 185
1713, 212
1566, 231
1369, 253
1094, 289
894, 330
731, 377
584, 422
488, 461
399, 494
326, 552
260, 605
213, 647
178, 678
139, 742
116, 778
95, 815
79, 853
62, 895
52, 937
41, 982
33, 1029
27, 1055
23, 1081
18, 1133
15, 1136
12, 1191
10, 1247
8, 1279
7, 1312
5, 1316
4, 1380
3, 1416
3, 1451
2, 1455
2, 1459
2, 1529
1, 1568
1, 1572
